callsign,origin,destination,aircraft_type,time,cargo
JIA5039,KATL,KCLT,CRJ9,12:09,false
PDT6064,KCLT,KEVV,E145,12:09,false
VTE154,KBCT,KCLT,CRJ2,12:10,false
AAL2200,KMSY,KCLT,B738,12:11,false
N142JS,KSAV,KCLT,GA5C,12:12,false
AAL1448,KCLT,KBDL,A321,12:13,false
AAL1463,KCLT,KBGR,A321,12:14,false
AAL573,KDEN,KCLT,A321,12:14,false
N160DC,KCLT,KJQF,C421,12:14,false
AAL2295,KCLT,KPIT,A319,12:16,false
AAL1346,KCLT,KGGE,B738,12:17,false
EJA567,KCLT,KRIC,C68A,12:18,false
AAL2254,KCLT,KORF,B738,12:19,false
JIA5357,KCLT,KATW,CRJ9,12:21,false
PDT6068,KEWN,KCLT,E145,12:23,false
DAL3190,KCLT,KATL,B712,12:25,false
AAL2038,KCLT,KLAS,A321,12:26,false
AAL889,KCLT,KTPA,A321,12:26,false
JIA5151,KDAB,KCLT,CRJ9,12:26,false
N572PC,KCLT,KBUF,PC12,12:27,false
N9224G,KCLT,KSOP,C182,12:29,false
ENY3563,KHXD,KCLT,E75L,12:30,false
JIA5083,KBNA,KCLT,CRJ9,12:30,false
N54DK,KLEX,KCLT,HDJT,12:31,false
AAL1449,KBDL,KCLT,B738,12:32,false
N156SB,KABE,KCLT,PC12,12:32,false
PDT5898,KROA,KCLT,E145,12:33,false
SCX1947,KMSP,KCLT,B738,12:36,false
AAL705,EDDF,KCLT,B772,12:37,false
JIA5148,KCLT,KDAB,CRJ9,12:38,false
SWA477,KBNA,KCLT,B737,12:40,false
AAL381,KSEA,KCLT,A321,12:42,false
VTE3422,KCLT,KBKW,E135,12:42,false
AAL2255,KCLT,KORF,A319,12:43,false
AAL785,EDDM,KCLT,B772,12:44,false
AAL2502,KORD,KCLT,A21N,12:47,false
PDT6062,KERI,KCLT,E145,12:47,false
AAL3278,KCLT,KCVG,B38M,12:48,false
AAL2671,KCLT,KVPS,A320,12:49,false
PDT5916,KSBY,KCLT,E145,12:50,false
RPA5630,KBOS,KCLT,E75L,12:50,false
AAL1251,KCLT,KSFO,A321,12:51,false
AAL1919,KCLT,KIAH,A321,12:52,false
JIA5143,KCRW,KCLT,CRJ9,12:52,false
RPA3442,KCLT,KORD,E75L,12:52,false
EDV5049,KJFK,KCLT,CRJ9,12:53,false
N362AH,KJQF,KCLT,EC35,12:53,false
AAL1180,KPHL,KCLT,A320,12:54,false
